flag,flag_key,fleet_size,accident_count,accident_rate,accident_rate_norm,avg_severity_risk,severity_risk_norm,avg_ship_type_risk,ship_type_risk_norm,paris_mou_category,paris_rank,paris_inspections_2022_2024,paris_detentions_2022_2024,paris_excess_factor,flag_safety_risk,flag_safety_risk_norm,risk_score
Guinea,guinea,30,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Guyana,guyana,123,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Haiti,haiti,2,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Kenya,kenya,27,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Kiribati,kiribati,76,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Laos,lao people s dem. rep.,1,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Lebanon,lebanon,46,0,0.0,0.0,0.0,0.0,0.0,0.0,grey,49,38,2,0.39,0.5,0.5,0.125
Lesotho,lesotho,1,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Libya,libya,92,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Madagascar,madagascar,31,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Maldives,maldives,92,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Mauritania,mauritania,12,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Micronesia,micronesia,34,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Monaco,monaco,3,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Montenegro,montenegro,17,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Morocco,morocco,97,0,0.0,0.0,0.0,0.0,0.0,0.0,grey,46,48,1,0.15,0.5,0.5,0.125
Mozambique,mozambique,40,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Namibia,namibia,17,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Netherlands Antilles,netherlands antilles,0,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
New Caledonia,new caledonia,20,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Nicaragua,nicaragua,5,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Niger,niger,1,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Macedonia [FYROM],north macedonia,2,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Northern Mariana Islands,northern mariana islands,1,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Oman,oman,50,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Pakistan,pakistan,61,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Panama,panama excluding canal zone,0,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Papua New Guinea,papua new guinea,224,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Puerto Rico,puerto rico,1,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Qatar,qatar,116,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Moldova,republic of moldova,37,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Réunion,reunion,11,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Samoa,samoa,13,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
San Marino,san marino,55,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Senegal,senegal,37,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Serbia and Montenegro,serbia and montenegro,0,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Seychelles,seychelles,29,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Slovakia,slovakia,1,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Slovenia,slovenia,7,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Somalia,somalia,4,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
South-eastern Asia,south eastern asia,23545,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Sub-Saharan Africa,sub saharan africa,9771,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Sudan,sudan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Suriname,suriname,14,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Switzerland,switzerland,15,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Timor-Leste,timor leste,2,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Tonga,tonga,27,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Turkmenistan,turkmenistan,77,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Turks and Caicos Islands,turks and caicos islands,3,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Union of Soviet Socialist Republics,union of soviet socialist republics,0,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Tanzania,united republic of tanzania,524,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
United States Virgin Islands,united states virgin islands,3,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Wallis and Futuna,wallis and futuna islands,11,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Yemen,yemen,30,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
"Yemen, Arab Republic",yemen arab republic,0,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
"Yemen, Democratic",yemen democratic,0,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
"Yugoslavia, Soc. Fed. Rep. of",yugoslavia soc. fed. rep. of,0,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Zambia,zambia,1,0,0.0,0.0,0.0,0.0,0.0,0.0,unlisted,,,,,0.5,0.5,0.125
Faroe Islands,faroe islands,91,0,0.0,0.0,0.0,0.0,0.0,0.0,white,30,225,6,-0.56,0.0,0.0,0.0
Jersey,jersey,0,0,0.0,0.0,0.0,0.0,0.0,0.0,white,38,44,0,0.03,0.0,0.0,0.0
