Loading trend data…
Running walk-forward validation on 205 flags…

Flag                           Rounds        MAE      MAPE%
New Caledonia                      10   0.000000        N/A
Niger                               7   0.000000        N/A
Pakistan                           10   0.000000        N/A
Reunion                            10   0.000000        N/A
Samoa                              10   0.000000        N/A
Slovakia                            1   0.000000        N/A
Slovenia                           10   0.000000        N/A
Somalia                            10   0.000000        N/A
Sudan                              10   0.000000        N/A
Suriname                           10   0.000000        N/A
Timor-Leste                         2   0.000000        N/A
Tonga                              10   0.000000        N/A
Turkmenistan                       10   0.000000        N/A
Turks and Caicos Islands           10   0.000000        N/A
United States Virgin Islands        4   0.000000        N/A
Wallis and Futuna Islands           4   0.000000        N/A
Yemen                              10   0.000000        N/A
Zambia                              2   0.000000        N/A

Flags evaluated : 189
Mean MAE        : 0.010716
Mean MAPE       : 84.0%
