Loading trend data…
Running walk-forward validation on 205 flags…

Flag                           Rounds        MAE      MAPE%   CI Cover
Kazakhstan                         10   0.001054      100.0      90.0%
Republic of Moldova                10   0.001035      100.0     100.0%
United Arab Emirates               10   0.000975       48.2      60.0%
Singapore                          10   0.000933       35.2      60.0%
Marshall Islands                   10   0.000926       37.9     100.0%
Republic of Korea                  10   0.000899       40.9      80.0%
Cambodia                           10   0.000895        N/A      90.0%
Malaysia                           10   0.000744       95.6      60.0%
China                              10   0.000668      151.1      80.0%
Ukraine                            10   0.000471        N/A      90.0%
Japan                              10   0.000449      104.1      90.0%
Indonesia                          10   0.000374       82.8      80.0%
French Polynesia                   10   0.000366        N/A     100.0%
Ghana                              10   0.000083        N/A     100.0%
Aruba                               2   0.000000        N/A     100.0%
Belarus                            10   0.000000        N/A     100.0%
Benin                              10   0.000000        N/A     100.0%
Brunei Darussalam                  10   0.000000        N/A     100.0%
Congo                              10   0.000000        N/A     100.0%
Costa Rica                         10   0.000000        N/A     100.0%
Cote d'Ivoire                      10   0.000000        N/A     100.0%
Cuba                               10   0.000000        N/A     100.0%
Curacao                            10   0.000000        N/A     100.0%
Dominican Republic                 10   0.000000        N/A     100.0%
El Salvador                        10   0.000000        N/A     100.0%
Equatorial Guinea                  10   0.000000        N/A     100.0%
Eritrea                            10   0.000000        N/A     100.0%
French Southern Territories         4   0.000000        N/A     100.0%
Gambia                             10   0.000000        N/A     100.0%
Grenada                            10   0.000000        N/A     100.0%
Guam                               10   0.000000        N/A     100.0%
Guatemala                          10   0.000000        N/A     100.0%
Guinea                              7   0.000000        N/A     100.0%
Haiti                              10   0.000000        N/A     100.0%
Hungary                             1   0.000000        N/A     100.0%
Lao People's Dem. Rep.             10   0.000000        N/A     100.0%
Montenegro                         10   0.000000        N/A     100.0%
New Caledonia                      10   0.000000        N/A     100.0%
Niger                               7   0.000000        N/A     100.0%
Pakistan                           10   0.000000        N/A     100.0%
Reunion                            10   0.000000        N/A     100.0%
Samoa                              10   0.000000        N/A     100.0%
Slovakia                            1   0.000000        N/A     100.0%
Slovenia                           10   0.000000        N/A     100.0%
Somalia                            10   0.000000        N/A     100.0%
Sudan                              10   0.000000        N/A     100.0%
Suriname                           10   0.000000        N/A     100.0%
Timor-Leste                         2   0.000000        N/A     100.0%
Tonga                              10   0.000000        N/A     100.0%
Turkmenistan                       10   0.000000        N/A     100.0%
Turks and Caicos Islands           10   0.000000        N/A     100.0%
United States Virgin Islands        4   0.000000        N/A     100.0%
Wallis and Futuna Islands           4   0.000000        N/A     100.0%
Yemen                              10   0.000000        N/A     100.0%
Zambia                              2   0.000000        N/A     100.0%

Flags evaluated : 189
Mean MAE        : 0.010716
Mean MAPE       : 84.0%
Mean CI Coverage: 80.6%  (target ≥ 80%)
