Economy_Label,2011_Number_of_ships_Value,2011_Number_of_ships_Footnote,2011_Number_of_ships_MissingValue,2012_Number_of_ships_Value,2012_Number_of_ships_Footnote,2012_Number_of_ships_MissingValue,2013_Number_of_ships_Value,2013_Number_of_ships_Footnote,2013_Number_of_ships_MissingValue,2014_Number_of_ships_Value,2014_Number_of_ships_Footnote,2014_Number_of_ships_MissingValue,2015_Number_of_ships_Value,2015_Number_of_ships_Footnote,2015_Number_of_ships_MissingValue,2016_Number_of_ships_Value,2016_Number_of_ships_Footnote,2016_Number_of_ships_MissingValue,2017_Number_of_ships_Value,2017_Number_of_ships_Footnote,2017_Number_of_ships_MissingValue,2018_Number_of_ships_Value,2018_Number_of_ships_Footnote,2018_Number_of_ships_MissingValue,2019_Number_of_ships_Value,2019_Number_of_ships_Footnote,2019_Number_of_ships_MissingValue,2020_Number_of_ships_Value,2020_Number_of_ships_Footnote,2020_Number_of_ships_MissingValue,2021_Number_of_ships_Value,2021_Number_of_ships_Footnote,2021_Number_of_ships_MissingValue,2022_Number_of_ships_Value,2022_Number_of_ships_Footnote,2022_Number_of_ships_MissingValue,2023_Number_of_ships_Value,2023_Number_of_ships_Footnote,2023_Number_of_ships_MissingValue,2024_Number_of_ships_Value,2024_Number_of_ships_Footnote,2024_Number_of_ships_MissingValue,2025_Number_of_ships_Value,2025_Number_of_ships_Footnote,2025_Number_of_ships_MissingValue
"Luxembourg",131,,,156,,,153,,,174,,,179,,,165,,,155,,,149,,,144,,,148,,,147,,,153,,,146,,,147,,,152,,
"Madagascar",38,,,35,,,35,,,28,,,28,,,28,,,28,,,28,,,26,,,28,,,28,,,28,,,30,,,30,,,31,,
"Malaysia",1405,,,1456,,,1500,,,1561,,,1617,,,1670,,,1691,,,1732,,,1747,,,1805,,,1783,,,1769,,,1763,,,1790,,,1813,,
"Maldives",73,,,65,,,65,,,62,,,63,,,67,,,61,,,63,,,66,,,79,,,80,,,82,,,85,,,85,,,92,,
"Malta",1642,,,1785,,,1754,,,1841,,,1940,,,2109,,,2184,,,2196,,,2177,,,2203,,,2129,,,2048,,,1945,,,1859,,,1949,,
"Marshall Islands",1688,,,1868,,,2068,,,2263,,,2588,,,2943,,,3167,,,3422,,,3539,,,3687,,,3825,,,4049,,,4185,,,4270,,,4254,,
"Mauritania",5,,,5,,,4,,,4,,,6,,,6,,,5,,,5,,,5,,,5,,,5,,,11,,,11,,,11,,,12,,
"Mauritius",25,,,27,,,28,,,28,,,29,,,30,,,29,,,29,,,28,,,32,,,33,,,31,,,30,,,33,,,32,,
"Mexico",523,,,531,,,552,,,570,,,601,,,619,,,626,,,642,,,642,,,669,,,676,,,674,,,670,,,685,,,699,,
"Micronesia (Federated States of)",17,,,16,,,17,,,19,,,44,,,45,,,103,,,48,,,40,,,37,,,36,,,34,,,35,,,36,,,34,,
"Monaco",1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,1,,,2,,,3,,
"Mongolia",189,,,181,,,192,,,233,,,254,,,270,,,251,,,253,,,285,,,312,,,301,,,302,,,328,,,356,,,358,,
"Montenegro",9,,,11,,,12,,,11,,,12,,,12,,,12,,,14,,,15,,,18,,,19,,,19,,,17,,,17,,,17,,
"Morocco",81,,,82,,,83,,,83,,,83,,,82,,,84,,,87,,,86,,,88,,,93,,,93,,,94,,,94,,,97,,
"Mozambique",23,,,26,,,26,,,27,,,27,,,27,,,27,,,28,,,28,,,29,,,36,,,36,,,39,,,40,,,40,,
"Myanmar",83,,,86,,,84,,,88,,,98,,,99,,,98,,,97,,,98,,,106,,,106,,,108,,,114,,,114,,,118,,
"Namibia",5,,,4,,,7,,,8,,,8,,,8,,,10,,,14,,,14,,,14,,,14,,,15,,,15,,,15,,,17,,
"Nauru",,,,,,,,,,,,,,,,,,,,,,,,,2,,,5,,,4,,,4,,,10,,,11,,,14,,
"Netherlands (Kingdom of the)",1102,,,1200,,,1210,,,1247,,,1233,,,1232,,,1233,,,1224,,,1208,,,1193,,,1207,,,1192,,,1189,,,1190,,,1200,,
"Netherlands Antilles",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"New Caledonia",12,,,11,,,10,,,10,,,9,,,9,,,17,,,25,,,25,,,25,,,24,,,23,,,21,,,20,,,20,,
"New Zealand",93,,,91,,,90,,,94,,,100,,,101,,,111,,,110,,,109,,,114,,,114,,,116,,,122,,,120,,,120,,
"Nicaragua",5,,,5,,,5,,,5,,,5,,,5,,,6,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,
"Niger",,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,
"Nigeria",372,,,374,,,416,,,469,,,547,,,571,,,624,,,660,,,732,,,791,,,870,,,896,,,955,,,971,,,1005,,
"Niue",,,,,,,,,,,,,,,,,,,42,,,62,,,71,,,65,,,68,,,69,,,78,,,75,,,77,,
"North Macedonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,
"Northern Mariana Islands",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,
"Norway",1507,,,1547,,,1506,,,1520,,,1531,,,1554,,,1550,,,1540,,,1552,,,1627,,,1669,,,1713,,,1711,,,1723,,,1731,,
"Oman",40,,,40,,,47,,,44,,,47,,,50,,,49,,,49,,,53,,,55,,,56,,,56,,,51,,,50,,,50,,
"Pakistan",49,,,50,,,50,,,50,,,51,,,51,,,49,,,52,,,52,,,58,,,58,,,58,,,61,,,60,,,61,,
"Palau",,,,,,,9,,,21,,,88,,,116,,,158,,,222,,,221,,,244,,,271,,,311,,,439,,,543,,,565,,
"Panama",8326,,,8299,,,8300,,,8163,,,8001,,,8021,,,7916,,,7799,,,7808,,,7905,,,7967,,,7993,,,8196,,,8342,,,8572,,
"Panama, excluding Canal Zone",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Papua New Guinea",130,,,131,,,143,,,151,,,169,,,170,,,171,,,171,,,172,,,197,,,197,,,201,,,214,,,219,,,224,,
"Paraguay",47,,,46,,,49,,,51,,,73,,,75,,,106,,,107,,,108,,,106,,,111,,,109,,,104,,,104,,,106,,
"Peru",85,,,76,,,72,,,75,,,86,,,88,,,96,,,98,,,100,,,101,,,104,,,108,,,110,,,112,,,114,,
"Philippines",1407,,,1403,,,1403,,,1436,,,1461,,,1494,,,1620,,,1698,,,1779,,,1862,,,2212,,,2211,,,2196,,,2218,,,2229,,
"Poland",171,,,165,,,154,,,154,,,151,,,151,,,144,,,144,,,143,,,143,,,145,,,149,,,152,,,160,,,162,,
"Portugal",240,,,246,,,249,,,272,,,329,,,389,,,499,,,589,,,622,,,675,,,725,,,826,,,895,,,988,,,1131,,
"Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,
"Qatar",103,,,108,,,120,,,119,,,137,,,140,,,142,,,140,,,135,,,129,,,129,,,124,,,121,,,118,,,116,,
"Republic of Korea",1897,,,1835,,,1848,,,1868,,,1887,,,1900,,,1889,,,1870,,,1884,,,2018,,,2120,,,2165,,,2171,,,2161,,,2157,,
"Republic of Moldova",164,,,168,,,200,,,197,,,186,,,182,,,166,,,139,,,137,,,127,,,146,,,121,,,49,,,39,,,37,,
"Reunion",7,,,7,,,6,,,6,,,7,,,7,,,9,,,11,,,11,,,11,,,10,,,10,,,10,,,10,,,11,,
"Romania",152,,,147,,,104,,,113,,,114,,,115,,,111,,,115,,,120,,,120,,,120,,,126,,,128,,,128,,,127,,
"Russian Federation",2309,,,2305,,,2403,,,2478,,,2524,,,2551,,,2615,,,2685,,,2765,,,2820,,,2887,,,2908,,,2913,,,2935,,,3007,,
"Saint Kitts and Nevis",309,,,257,,,272,,,278,,,271,,,277,,,253,,,232,,,203,,,204,,,247,,,294,,,356,,,411,,,568,,
"Saint Vincent and the Grenadines",1053,,,1000,,,918,,,878,,,842,,,871,,,821,,,798,,,777,,,766,,,791,,,831,,,799,,,788,,,820,,
"Samoa",9,,,9,,,9,,,9,,,9,,,10,,,10,,,13,,,12,,,11,,,12,,,15,,,13,,,12,,,13,,
"San Marino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,16,,,55,,
"Sao Tome and Principe",18,,,14,,,14,,,16,,,18,,,18,,,16,,,18,,,17,,,16,,,21,,,25,,,26,,,42,,,69,,
"Saudi Arabia",291,,,281,,,298,,,330,,,365,,,366,,,347,,,383,,,371,,,376,,,398,,,416,,,438,,,444,,,482,,
"Senegal",21,,,21,,,21,,,22,,,24,,,26,,,28,,,30,,,33,,,35,,,36,,,37,,,36,,,35,,,37,,
"Serbia and Montenegro",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Seychelles",23,,,24,,,26,,,24,,,24,,,25,,,25,,,26,,,26,,,29,,,30,,,30,,,30,,,32,,,29,,
"Sierra Leone",434,,,399,,,433,,,438,,,436,,,468,,,461,,,490,,,528,,,582,,,579,,,599,,,590,,,580,,,616,,
"Singapore",2772,,,3117,,,3239,,,3166,,,3339,,,3484,,,3465,,,3454,,,3376,,,3386,,,3307,,,3223,,,3049,,,3073,,,3098,,
"Slovakia",22,,,17,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,
"Slovenia",7,,,8,,,7,,,7,,,7,,,7,,,7,,,8,,,8,,,9,,,9,,,9,,,8,,,7,,,7,,
"Solomon Islands",20,,,19,,,20,,,22,,,22,,,22,,,21,,,22,,,24,,,27,,,26,,,27,,,30,,,30,,,32,,
"Somalia",4,,,4,,,4,,,4,,,5,,,5,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,
"South Africa",68,,,71,,,70,,,69,,,71,,,77,,,95,,,101,,,102,,,104,,,108,,,110,,,109,,,108,,,111,,
"South Sudan",,,"Not applicable",,,,12,,,14,,,27,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spain",512,,,512,,,498,,,473,,,470,,,468,,,463,,,472,,,484,,,487,,,494,,,497,,,498,,,480,,,483,,
"Sri Lanka",82,,,74,,,76,,,73,,,80,,,82,,,88,,,92,,,95,,,98,,,92,,,95,,,95,,,95,,,95,,
"Sudan",,,"Not applicable",16,,,16,,,16,,,16,,,17,,,18,,,16,,,15,,,15,,,15,,,15,,,16,,,16,,,16,,
"Sudan (...2011)",17,,,,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Suriname",10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,13,,,13,,,14,,,14,,,14,,
"Sweden",418,,,420,,,391,,,389,,,380,,,376,,,359,,,353,,,362,,,364,,,363,,,364,,,363,,,357,,,362,,
"Switzerland",34,,,39,,,41,,,44,,,47,,,48,,,52,,,37,,,32,,,28,,,20,,,20,,,17,,,17,,,15,,
"Syrian Arab Republic",72,,,48,,,38,,,24,,,21,,,21,,,21,,,21,,,26,,,28,,,27,,,21,,,24,,,21,,,18,,
"Thailand",769,,,746,,,746,,,767,,,776,,,786,,,798,,,828,,,845,,,853,,,885,,,869,,,872,,,865,,,868,,
"Timor-Leste",,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,2,,,2,,,2,,
"Togo",116,,,131,,,187,,,204,,,255,,,254,,,340,,,360,,,407,,,415,,,414,,,401,,,392,,,369,,,355,,
"Tonga",44,,,38,,,34,,,34,,,33,,,34,,,32,,,30,,,31,,,32,,,28,,,25,,,25,,,26,,,27,,
"Trinidad and Tobago",104,,,103,,,102,,,99,,,104,,,105,,,104,,,103,,,106,,,102,,,103,,,102,,,100,,,99,,,99,,
"Tunisia",59,,,57,,,59,,,58,,,61,,,60,,,67,,,69,,,69,,,70,,,72,,,72,,,72,,,73,,,73,,
"Turkiye",1315,,,1333,,,1325,,,1254,,,1241,,,1267,,,1266,,,1256,,,1242,,,1241,,,1184,,,1171,,,1188,,,1208,,,1220,,
"Turkmenistan",59,,,55,,,65,,,66,,,76,,,76,,,72,,,70,,,70,,,70,,,73,,,71,,,75,,,75,,,77,,
"Turks and Caicos Islands",3,,,3,,,3,,,4,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,
"Tuvalu",210,,,182,,,192,,,209,,,216,,,215,,,230,,,236,,,233,,,236,,,231,,,247,,,268,,,273,,,285,,
"Uganda",,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ukraine",499,,,490,,,455,,,434,,,425,,,424,,,414,,,403,,,407,,,411,,,413,,,411,,,403,,,399,,,383,,
"Union of Soviet Socialist Republics",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"United Arab Emirates",527,,,540,,,549,,,562,,,574,,,588,,,631,,,637,,,625,,,633,,,626,,,639,,,658,,,672,,,676,,
"United Kingdom",1288,,,1338,,,1281,,,1176,,,1151,,,1154,,,1022,,,1043,,,1033,,,945,,,929,,,880,,,814,,,801,,,794,,
"United Republic of Tanzania",216,,,194,,,272,,,283,,,281,,,283,,,341,,,393,,,353,,,329,,,325,,,321,,,397,,,476,,,524,,
"United States",3427,"Break",,3472,,,3476,,,3467,,,3522,,,3566,,,3613,,,3639,,,3632,,,3632,,,3540,,,3492,,,3510,,,3513,,,3519,,
"United States Virgin Islands",,,,,,,,,,,,,,,,,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,
"Uruguay",45,,,44,,,49,,,52,,,55,,,56,,,62,,,64,,,60,,,61,,,61,,,61,,,58,,,61,,,61,,
"Vanuatu",383,,,430,,,443,,,421,,,432,,,426,,,404,,,396,,,347,,,327,,,307,,,327,,,339,,,349,,,295,,
"Venezuela (Bolivarian Rep. of)",241,,,236,,,246,,,249,,,262,,,263,,,271,,,296,,,285,,,281,,,284,,,270,,,264,,,268,,,272,,
"Viet Nam",1756,,,1774,,,1752,,,1752,,,1761,,,1800,,,1791,,,1831,,,1864,,,1914,,,1945,,,1973,,,1948,,,1933,,,1919,,
"Wallis and Futuna Islands",1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,11,,,11,,,11,,,11,,
"Yemen",33,,,33,,,31,,,31,,,31,,,31,,,34,,,34,,,34,,,34,,,34,,,29,,,30,,,30,,,30,,
"Yemen, Arab Republic",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Yemen, Democratic",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Yugoslavia, Soc. Fed. Rep. of",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Zambia",,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,2,,,2,,,1,,,1,,,1,,
